Job Name,Job Location,Company Name
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
Telugu Transcriber,"Remote in Hyderabad G.P.O., Hyderabad, Telangana",Tutor Consortium Private Limited
Warehouse Executive,"Hyderabad District, Telangana",Meragi
"Fresher Hiring : Non IT : Univariety, Hyderabad","Banjara Hills, Hyderabad, Telangana",Univariety
Customer Service Representative,"HITEC City, Hyderabad, Telangana",Fruges IT Services
MDS-OMFS,"Hyderabad, Telangana",NATIONAL DENTAL CARE
Hiring US Non IT Recruiters,"Madhapur, Hyderabad, Telangana",Sphinix Technologies Pvt Ltd
Receptionist/Administrator,"KPHB Colony, Hyderabad, Telangana",Valen IT Solutions
US Non IT Recruiter,"Uppal Kalan, Hyderabad, Telangana",Vigneshsoft Innovation pvt Ltd
Computer and Data Entry Operator,"Hyderabad, Telangana",Sky-E IT Solutions Pvt Ltd
Back Office Assistant,"KPHB Colony, Hyderabad, Telangana",Dhara Crop Care Pvt. Ltd.
Associate- Ops,"Hyderabad, Telangana",WNS Global Services
International Inbound Calling,"Hyderabad, Telangana",Tech Mahindra
"Editor, Amazon Books","Hyderabad, Telangana",ADCI MAA 15 SEZ
Freshers - Trainee,"Hyderabad, Telangana",Magnarus Technologies
Operation Executive (Courier background),"Hyderabad, Telangana",Bombax Logistics Pvt Ltd.
